Log akses dibuat untuk username : admin_surat (pada 20-05-2014 09:45:15). IP : 127.0.0.1, browser : Safari/Chrome versi : 537.36, OS : Windows 7
====================

[20-05-2014 09:49:15] : LOG IN Sukses. IP : 127.0.0.1, browser : Safari/Chrome versi : 537.36, OS : Windows 7.
[20-05-2014 09:51:40] : LOG OUT Sukses. IP : 127.0.0.1, browser : Safari/Chrome versi : 537.36, OS : Windows 7.
[22-05-2014 05:00:24] : LOG IN Sukses. IP : 110.76.149.147, browser : Safari/Chrome versi : 537.36, OS : Windows 7.
[22-05-2014 05:02:13] : LOG OUT Sukses. IP : 110.76.149.147, browser : Safari/Chrome versi : 537.36, OS : Windows 7.
[22-05-2014 05:18:23] : LOG IN Sukses. IP : 110.76.149.147, browser : Safari/Chrome versi : 537.36, OS : Windows 7.
[22-05-2014 05:32:51] : LOG IN Sukses. IP : 125.165.169.230, browser : Safari/Chrome versi : 537.36, OS : ???.
[22-05-2014 06:08:50] : LOG OUT Sukses. IP : 125.165.169.230, browser : Safari/Chrome versi : 537.36, OS : ???.
[23-05-2014 08:20:43] : LOG IN Sukses. IP : 125.165.169.230, browser : Safari/Chrome versi : 537.36, OS : ???.
[23-05-2014 08:22:19] : LOG OUT Sukses. IP : 125.165.169.230, browser : Safari/Chrome versi : 537.36, OS : ???.
[26-05-2014 01:49:33] : LOG IN Sukses. IP : 125.165.169.230, browser : Safari/Chrome versi : 537.36, OS : ???.
[26-05-2014 01:52:07] : LOG OUT Sukses. IP : 125.165.169.230, browser : Safari/Chrome versi : 537.36, OS : ???.
[26-05-2014 07:29:03] : LOG IN Sukses. IP : 36.88.3.98, browser : Mozilla Firefox versi : 29.0, OS : Windows 7.
[26-05-2014 07:48:09] : LOG OUT Sukses. IP : 36.88.3.98, browser : Mozilla Firefox versi : 29.0, OS : Windows 7.
[26-05-2014 07:57:34] : LOG IN Sukses. IP : 36.88.3.98, browser : Mozilla Firefox versi : 29.0, OS : Windows 7.
[26-05-2014 08:00:20] : LOG OUT Sukses. IP : 36.88.3.98, browser : Mozilla Firefox versi : 29.0, OS : Windows 7.
[26-05-2014 08:24:59] : LOG IN Sukses. IP : 125.165.169.230, browser : Mozilla Firefox versi : 29.0, OS : ???.
[26-05-2014 08:26:23] : LOG OUT Sukses. IP : 125.165.169.230, browser : Mozilla Firefox versi : 29.0, OS : ???.
[26-05-2014 08:33:39] : LOG IN Sukses. IP : 125.165.169.230, browser : Mozilla Firefox versi : 29.0, OS : ???.
[26-05-2014 08:35:15] : LOG OUT Sukses. IP : 125.165.169.230, browser : Mozilla Firefox versi : 29.0, OS : ???.
[27-05-2014 11:04:48] : LOG IN Sukses. IP : 110.76.149.147, browser : Safari/Chrome versi : 537.36, OS : Windows 7.
[27-05-2014 11:37:04] : LOG OUT Sukses. IP : 110.76.149.147, browser : Safari/Chrome versi : 537.36, OS : Windows 7.
[28-05-2014 12:19:59] : LOG IN Sukses. IP : 202.67.42.14, browser : Mozilla Firefox versi : 30.0, OS : Windows 7.
[28-05-2014 12:21:23] : LOG IN Sukses. IP : 110.76.149.147, browser : Safari/Chrome versi : 537.36, OS : Windows 7.
