Log akses dibuat untuk username : admin (pada 20-05-2014 02:14:03). IP : 127.0.0.1, browser : Safari/Chrome versi : 537.36, OS : Windows 7
====================

[20-05-2014 09:33:25] : LOG IN Sukses. IP : 127.0.0.1, browser : Safari/Chrome versi : 537.36, OS : Windows 7.
[20-05-2014 09:33:36] : LOG OUT Sukses. IP : 127.0.0.1, browser : Safari/Chrome versi : 537.36, OS : Windows 7.
[20-05-2014 09:41:11] : LOG IN Sukses. IP : 127.0.0.1, browser : Safari/Chrome versi : 537.36, OS : Windows 7.
[20-05-2014 09:49:06] : LOG OUT Sukses. IP : 127.0.0.1, browser : Safari/Chrome versi : 537.36, OS : Windows 7.
[22-05-2014 01:20:55] : LOG OUT Sukses. IP : 127.0.0.1, browser : Safari/Chrome versi : 537.36, OS : Windows 7.
[22-05-2014 01:33:33] : LOG IN Sukses. IP : 202.67.42.2, browser : Safari/Chrome versi : 537.36, OS : Windows 7.
[22-05-2014 01:53:01] : LOG OUT Sukses. IP : 202.67.42.2, browser : Safari/Chrome versi : 537.36, OS : Windows 7.
[22-05-2014 04:05:32] : LOG IN Sukses. IP : 125.165.169.230, browser : Mozilla Firefox versi : 10.0.2, OS : ???.
[22-05-2014 04:07:57] : UBAH PASSWORD Sukses. IP : 125.165.169.230, browser : Mozilla Firefox versi : 10.0.2, OS : ???.
[22-05-2014 04:08:13] : LOG OUT Sukses. IP : 125.165.169.230, browser : Mozilla Firefox versi : 10.0.2, OS : ???.
[22-05-2014 04:08:58] : LOG IN Sukses. IP : 125.165.169.230, browser : Mozilla Firefox versi : 10.0.2, OS : ???.
[22-05-2014 04:40:20] : UBAH PASSWORD Sukses. IP : 125.165.169.230, browser : Mozilla Firefox versi : 10.0.2, OS : ???.
[22-05-2014 04:40:24] : LOG OUT Sukses. IP : 125.165.169.230, browser : Mozilla Firefox versi : 10.0.2, OS : ???.
[22-05-2014 04:40:33] : LOG IN Sukses. IP : 125.165.169.230, browser : Mozilla Firefox versi : 10.0.2, OS : ???.
[22-05-2014 04:58:29] : LOG IN Sukses. IP : 110.76.149.147, browser : Safari/Chrome versi : 537.36, OS : Windows 7.
[22-05-2014 05:00:16] : LOG OUT Sukses. IP : 110.76.149.147, browser : Safari/Chrome versi : 537.36, OS : Windows 7.
[22-05-2014 05:08:47] : LOG OUT Sukses. IP : 125.165.169.230, browser : Mozilla Firefox versi : 10.0.2, OS : ???.
[22-05-2014 05:15:18] : LOG IN Sukses. IP : 125.165.169.230, browser : Mozilla Firefox versi : 10.0.2, OS : ???.
[22-05-2014 05:17:18] : LOG IN Sukses. IP : 125.165.169.230, browser : Safari/Chrome versi : 537.36, OS : ???.
[22-05-2014 05:19:08] : UBAH PASSWORD Sukses. IP : 125.165.169.230, browser : Safari/Chrome versi : 537.36, OS : ???.
[22-05-2014 05:32:02] : LOG OUT Sukses. IP : 125.165.169.230, browser : Safari/Chrome versi : 537.36, OS : ???.
[22-05-2014 06:30:54] : LOG IN Sukses. IP : 125.165.169.230, browser : Safari/Chrome versi : 537.36, OS : ???.
[22-05-2014 06:47:34] : LOG OUT Sukses. IP : 125.165.169.230, browser : Safari/Chrome versi : 537.36, OS : ???.
