Log akses dibuat untuk username : 0019127004 (pada 27-05-2014 08:29:55). IP : 202.67.43.13, browser : Safari/Chrome versi : 537.36, OS : Windows 7
====================

[27-05-2014 08:30:48] : LOG IN Sukses. IP : 202.67.43.13, browser : Safari/Chrome versi : 537.36, OS : Windows 7.
[27-05-2014 08:31:36] : LOG OUT Sukses. IP : 202.67.43.13, browser : Safari/Chrome versi : 537.36, OS : Windows 7.
[27-05-2014 08:34:10] : LOG IN Sukses. IP : 202.67.43.13, browser : Safari/Chrome versi : 537.36, OS : Windows 7.
[27-05-2014 08:37:54] : LOG OUT Sukses. IP : 202.67.43.13, browser : Safari/Chrome versi : 537.36, OS : Windows 7.
[27-05-2014 08:41:49] : LOG IN Sukses. IP : 202.67.43.13, browser : Safari/Chrome versi : 537.36, OS : Windows 7.
[27-05-2014 08:43:56] : LOG OUT Sukses. IP : 202.67.43.13, browser : Safari/Chrome versi : 537.36, OS : Windows 7.
[27-05-2014 11:58:47] : LOG IN Sukses. IP : 202.67.42.14, browser : Mozilla Firefox versi : 30.0, OS : Windows 7.
[28-05-2014 12:02:47] : LOG IN Sukses. IP : 110.76.149.147, browser : Safari/Chrome versi : 537.36, OS : Windows 7.
[28-05-2014 12:19:33] : LOG OUT Sukses. IP : 202.67.42.14, browser : Mozilla Firefox versi : 30.0, OS : Windows 7.
[28-05-2014 12:21:14] : LOG OUT Sukses. IP : 110.76.149.147, browser : Safari/Chrome versi : 537.36, OS : Windows 7.
[28-05-2014 12:36:56] : LOG IN Sukses. IP : 202.67.42.23, browser : Mozilla Firefox versi : 30.0, OS : Windows 7.
[28-05-2014 12:39:28] : LOG OUT Sukses. IP : 202.67.42.23, browser : Mozilla Firefox versi : 30.0, OS : Windows 7.
[28-05-2014 12:46:25] : LOG IN Sukses. IP : 202.67.42.23, browser : Mozilla Firefox versi : 30.0, OS : Windows 7.
[28-05-2014 01:10:29] : LOG OUT Sukses. IP : 202.67.42.23, browser : Mozilla Firefox versi : 30.0, OS : Windows 7.
[28-05-2014 08:39:18] : LOG IN Sukses. IP : 202.67.42.5, browser : Safari/Chrome versi : 537.36, OS : Windows 7.
[28-05-2014 08:40:34] : LOG OUT Sukses. IP : 202.67.42.5, browser : Safari/Chrome versi : 537.36, OS : Windows 7.
[29-05-2014 11:14:33] : LOG IN Sukses. IP : 110.76.149.147, browser : Safari/Chrome versi : 537.36, OS : Windows 7.
[29-05-2014 11:21:56] : LOG OUT Sukses. IP : 110.76.149.147, browser : Safari/Chrome versi : 537.36, OS : Windows 7.
[30-05-2014 07:47:59] : LOG IN Sukses. IP : ::1, browser : Mozilla Firefox versi : 29.0, OS : Windows 7.
[30-05-2014 07:48:32] : LOG OUT Sukses. IP : ::1, browser : Mozilla Firefox versi : 29.0, OS : Windows 7.
[09-06-2014 10:12:31] : LOG IN Sukses. IP : ::1, browser : Safari/Chrome versi : 537.36, OS : Windows 7.
[09-06-2014 10:19:39] : LOG OUT Sukses. IP : ::1, browser : Safari/Chrome versi : 537.36, OS : Windows 7.
[20-06-2014 08:06:16] : LOG IN Sukses. IP : ::1, browser : Safari/Chrome versi : 537.36, OS : Windows 7.
[21-06-2014 05:01:31] : LOG IN Sukses. IP : ::1, browser : Safari/Chrome versi : 537.36, OS : Windows 7.
[21-06-2014 09:46:13] : LOG IN Sukses. IP : ::1, browser : Safari/Chrome versi : 537.36, OS : Windows 7.
[21-06-2014 10:04:18] : LOG IN Sukses. IP : ::1, browser : Mozilla Firefox versi : 30.0, OS : Windows 7.
[21-06-2014 10:24:50] : LOG OUT Sukses. IP : ::1, browser : Mozilla Firefox versi : 30.0, OS : Windows 7.
[22-06-2014 03:52:00] : LOG IN Sukses. IP : ::1, browser : Mozilla Firefox versi : 30.0, OS : Windows 7.
[22-06-2014 03:52:10] : LOG OUT Sukses. IP : ::1, browser : Mozilla Firefox versi : 30.0, OS : Windows 7.
[22-06-2014 04:19:01] : LOG IN Sukses. IP : ::1, browser : Mozilla Firefox versi : 30.0, OS : Windows 7.
[22-06-2014 04:19:57] : LOG OUT Sukses. IP : ::1, browser : Mozilla Firefox versi : 30.0, OS : Windows 7.
[23-06-2014 12:15:49] : LOG IN Sukses. IP : ::1, browser : Mozilla Firefox versi : 30.0, OS : Windows 7.
[24-06-2014 07:03:34] : LOG IN Sukses. IP : ::1, browser : Mozilla Firefox versi : 30.0, OS : Windows 7.
[24-06-2014 07:03:41] : LOG OUT Sukses. IP : ::1, browser : Mozilla Firefox versi : 30.0, OS : Windows 7.
[07-07-2014 06:32:10] : LOG IN Sukses. IP : ::1, browser : Safari/Chrome versi : 537.36, OS : ???.
[07-07-2014 06:59:39] : LOG OUT Sukses. IP : ::1, browser : Safari/Chrome versi : 537.36, OS : ???.
