Log akses dibuat untuk username : dekan_fkip (pada 23-05-2014 08:18:45). IP : 125.165.169.230, browser : Safari/Chrome versi : 537.36, OS : ???
====================

[26-05-2014 02:39:13] : LOG IN Sukses. IP : 125.165.169.230, browser : Mozilla Firefox versi : 29.0, OS : ???.
[26-05-2014 02:42:30] : LOG OUT Sukses. IP : 125.165.169.230, browser : Mozilla Firefox versi : 29.0, OS : ???.
[26-05-2014 07:50:45] : LOG IN Sukses. IP : 36.88.3.98, browser : Mozilla Firefox versi : 29.0, OS : Windows 7.
[26-05-2014 07:56:25] : LOG OUT Sukses. IP : 36.88.3.98, browser : Mozilla Firefox versi : 29.0, OS : Windows 7.
[26-05-2014 08:00:42] : LOG IN Sukses. IP : 36.88.3.98, browser : Mozilla Firefox versi : 29.0, OS : Windows 7.
[26-05-2014 08:26:39] : LOG IN Sukses. IP : 125.165.169.230, browser : Mozilla Firefox versi : 29.0, OS : ???.
[26-05-2014 08:28:20] : LOG OUT Sukses. IP : 125.165.169.230, browser : Mozilla Firefox versi : 29.0, OS : ???.
[27-05-2014 09:32:22] : LOG IN Sukses. IP : 127.0.0.1, browser : Safari/Chrome versi : 537.36, OS : Windows 7.
[27-05-2014 10:09:54] : LOG OUT Sukses. IP : 127.0.0.1, browser : Safari/Chrome versi : 537.36, OS : Windows 7.
